Currency,Date,"Exchange Rate"

AED,2025-08-15,81.9674
AED,2025-08-14,81.9401
AED,2025-08-13,81.9629
AED,2025-08-12,81.8686
AED,2025-08-11,81.9091
AED,2025-08-07,81.8946
AED,2025-08-06,81.9341
AED,2025-08-05,81.9593
AED,2025-08-04,82.1251
AED,2025-08-01,82.2811
AED,2025-07-31,82.2872
AED,2025-07-30,82.2420
AED,2025-07-29,82.2170
AED,2025-07-28,82.1978
AED,2025-07-25,82.1841
AED,2025-07-24,82.1676
AED,2025-07-23,82.1494
AED,2025-07-22,82.1896
AED,2025-07-21,82.1238
AED,2025-07-18,82.0984
AED,2025-07-17,82.0412
AED,2025-07-16,81.9460
AED,2025-07-15,81.9468
AED,2025-07-14,81.8663
AED,2025-07-11,81.8792
AED,2025-07-09,81.9348
AED,2025-07-08,81.8399
AED,2025-07-07,81.7465
AED,2025-07-04,81.6886
AED,2025-07-03,81.6858
AED,2025-07-02,81.6929
AED,2025-07-01,81.6730
AED,2025-06-30,81.6771
AED,2025-06-27,81.6810
AED,2025-06-26,81.7468
AED,2025-06-25,81.8206
AED,2025-06-24,81.9936
AED,2025-06-23,81.8106
AED,2025-06-20,81.8655
AED,2025-06-19,81.8814
AED,2025-06-18,81.9165
AED,2025-06-17,81.9000
AED,2025-06-16,81.5351
AED,2025-06-13,81.4200
AED,2025-06-12,81.4091
AED,2025-06-11,81.4433
AED,2025-06-09,81.4448
AED,2025-06-06,81.4885
AED,2025-06-05,81.5118
AED,2025-06-04,81.5550
AED,2025-06-03,81.5639
AED,2025-06-02,81.5284
AED,2025-05-30,81.5333
AED,2025-05-29,81.5971
AED,2025-05-28,81.6026
AED,2025-05-27,81.5575
AED,2025-05-26,81.4941
AED,2025-05-23,81.5159
AED,2025-05-22,81.6343
AED,2025-05-21,81.8298
AED,2025-05-20,81.5560
AED,2025-05-19,81.3615
AED,2025-05-16,81.2693
AED,2025-05-15,81.3193
AED,2025-05-14,81.3823
AED,2025-05-09,81.4883
AED,2025-05-08,81.5365
AED,2025-05-07,81.5386
AED,2025-05-06,81.5466
AED,2025-05-05,81.5350
AED,2025-05-02,81.5589
AED,2025-04-30,81.5719
AED,2025-04-29,81.5826
AED,2025-04-28,81.5923
AED,2025-04-25,81.6925
AED,2025-04-24,81.6282
AED,2025-04-23,81.5996
AED,2025-04-22,81.4704
AED,2025-04-21,81.4351
AED,2025-04-17,81.2999
AED,2025-04-16,81.1691
AED,2025-04-11,81.3689
AED,2025-04-10,82.0040
AED,2025-04-09,81.2962
AED,2025-04-08,81.0018
AED,2025-04-07,80.7915
AED,2025-04-04,80.8327
AED,2025-04-03,80.6043
AED,2025-04-02,80.6428
AED,2025-04-01,80.6751
AED,2025-03-28,80.6826
AED,2025-03-27,80.7100
AED,2025-03-26,80.7527
AED,2025-03-25,80.7840
AED,2025-03-24,80.7465
AED,2025-03-21,80.7513
AED,2025-03-20,80.6483
AED,2025-03-19,80.6034
AED,2025-03-18,80.6740
AED,2025-03-17,80.5434
AED,2025-03-14,80.4344
AED,2025-03-12,80.4578
AED,2025-03-11,80.4481
AED,2025-03-10,80.4498
AED,2025-03-07,80.4805
AED,2025-03-06,80.3849
AED,2025-03-05,80.3763
AED,2025-03-04,80.4190
AED,2025-03-03,80.4226
AED,2025-02-28,80.4569
AED,2025-02-27,80.5131
AED,2025-02-25,80.5208
AED,2025-02-24,80.5562
AED,2025-02-21,80.7153
AED,2025-02-20,80.7588
AED,2025-02-19,80.5587
AED,2025-02-18,80.4102
AED,2025-02-17,80.4572
AED,2025-02-14,80.7384
AED,2025-02-13,80.8650
AED,2025-02-11,81.0013
AED,2025-02-10,81.0408
AED,2025-02-07,81.2662
AED,2025-02-06,81.3855
AED,2025-02-05,81.4433
AED,2025-02-03,81.0337
AED,2025-01-31,81.0204
AED,2025-01-30,80.7368
AED,2025-01-29,81.1051
AED,2025-01-28,81.2603
AED,2025-01-27,81.2456
AED,2025-01-24,81.3669
AED,2025-01-23,81.3141
AED,2025-01-22,80.9952
AED,2025-01-21,80.8207
AED,2025-01-20,80.7677
AED,2025-01-17,80.7279
AED,2025-01-16,80.3760
AED,2025-01-15,80.2059
AED,2025-01-10,80.4773
AED,2025-01-09,80.6130
AED,2025-01-08,80.6291
AED,2025-01-07,80.2971
AED,2025-01-06,79.9231
AED,2025-01-03,79.8436
AED,2025-01-02,79.8842
AED,2025-01-01,79.7720
AED,2024-12-31,79.6579
AED,2024-12-30,79.7062
AED,2024-12-27,80.1346
AED,2024-12-26,80.7192
AED,2024-12-24,80.4821
AED,2024-12-23,79.8145
AED,2024-12-20,79.6845
AED,2024-12-19,79.3037
AED,2024-12-18,79.2106
AED,2024-12-17,79.1616
AED,2024-12-16,79.0425
AED,2024-12-13,79.0252
AED,2024-12-12,79.0352
AED,2024-12-11,79.0388
AED,2024-12-10,79.0527
AED,2024-12-09,79.0475
AED,2024-12-06,79.0636
AED,2024-12-05,79.0961
AED,2024-12-04,79.1004
AED,2024-12-03,79.1314
AED,2024-12-02,79.1450
AED,2024-11-29,79.2044
AED,2024-11-28,79.2522
AED,2024-11-27,79.2668
AED,2024-11-26,79.2460
AED,2024-11-25,79.2104
AED,2024-11-22,79.2252
AED,2024-11-21,79.2201
AED,2024-11-20,79.2042
AED,2024-11-19,79.3870
AED,2024-11-18,79.5521
AED,2024-11-14,79.5803
AED,2024-11-13,79.6618
AED,2024-11-12,79.6608
AED,2024-11-11,79.6738
AED,2024-11-08,79.6859
AED,2024-11-07,79.7553
AED,2024-11-06,79.7994
AED,2024-11-05,79.7960
AED,2024-11-04,79.7652
AED,2024-11-01,79.8819
AED,2024-10-30,79.9658
AED,2024-10-29,79.9160
AED,2024-10-28,79.9583
AED,2024-10-25,79.9563
AED,2024-10-24,79.8453
